t_s,raw,est
0.0,-0.1,-0.01
0.016,0.07,-0.01
0.046,0.0,-0.01
0.06,0.03,0.0
0.082,0.12,0.0
0.105,-0.01,0.01
0.125,0.04,0.01
0.143,-0.18,0.0
0.165,0.03,0.0
0.189,-0.03,0.0
0.217,-0.19,-0.01
0.237,0.07,-0.01
0.261,0.1,-0.01
0.279,0.0,0.0
0.298,0.15,0.01
0.323,-0.1,0.0
0.35,-0.04,0.01
0.367,0.06,0.0
0.387,-0.18,0.0
0.411,0.03,-0.01
0.435,0.01,-0.01
0.468,-0.01,-0.01
0.475,0.11,-0.01
0.496,-0.11,-0.01
0.529,0.18,-0.01
0.548,0.1,0.0
0.571,-0.04,0.0
0.59,0.15,0.01
0.614,-0.08,0.01
0.632,-0.06,0.01
0.654,-0.01,0.0
0.684,-0.15,-0.01
0.7,0.08,0.0
0.719,0.07,0.0
0.741,-0.04,0.0
0.772,0.11,0.0
0.784,-0.06,0.0
0.805,0.03,0.01
0.828,-0.03,0.01
0.851,-0.07,0.01
0.887,0.03,0.01
0.891,0.0,0.0
0.916,-0.07,0.01
0.938,0.01,0.0
0.959,-0.03,0.0
0.981,-0.04,0.0
1.005,0.1,0.01
1.026,-0.03,0.01
1.051,0.06,0.01
1.069,-0.01,0.01
1.092,0.0,0.01
1.11,0.0,0.01
1.129,-0.11,0.0
1.155,0.06,0.0
1.184,-0.07,0.0
1.199,-0.07,0.0
1.214,0.1,0.0
1.235,-0.01,0.0
1.26,0.0,0.01
1.284,0.04,0.01
1.311,-0.17,0.0
1.324,0.01,0.0
1.349,-0.11,-0.01
1.366,0.03,-0.01
1.392,0.17,0.0
1.413,-0.04,0.0
1.437,-0.06,0.0
1.464,-0.06,-0.01
1.484,-0.15,-0.01
1.508,0.06,-0.01
1.533,0.03,-0.02
1.553,-0.14,-0.02
1.571,0.03,-0.02
1.6,-0.12,-0.03
1.617,0.06,-0.02
1.639,0.07,-0.03
1.657,-0.04,-0.02
1.678,0.1,-0.01
1.7,-0.14,-0.02
1.724,-0.1,-0.02
1.744,-0.01,-0.03
1.776,-0.12,-0.03
1.796,0.07,-0.03
1.811,-0.01,-0.03
1.848,0.01,-0.02
1.851,0.1,-0.02
1.884,0.0,-0.02
1.904,0.08,-0.01
1.917,0.0,-0.01
1.936,-0.03,-0.01
1.962,0.08,-0.01
1.986,-0.18,-0.02
2.006,-0.01,-0.02
2.025,-0.04,-0.03
2.048,-0.11,-0.03
2.066,0.03,-0.03
2.093,-0.03,-0.03
2.11,0.0,-0.02
2.155,0.07,-0.02
2.156,-0.11,-0.02
2.172,0.01,-0.02
2.199,-0.03,-0.03
2.217,-0.01,-0.02
2.24,0.08,-0.02
2.27,0.0,-0.02
2.283,0.08,-0.01
2.308,-0.07,-0.02
2.324,-0.1,-0.02
2.359,0.01,-0.02
2.401,-0.15,-0.02
2.402,0.04,-0.02
2.426,0.13,-0.02
2.454,-0.08,-0.02
2.46,-0.08,-0.02
2.479,0.01,-0.02
2.526,0.01,-0.01
2.527,0.17,-0.01
2.572,0.0,-0.01
2.577,-0.11,-0.01
2.601,0.06,-0.01
2.62,-0.15,-0.01
2.649,0.04,0.0
2.657,0.06,-0.01
2.681,-0.1,-0.01
2.702,0.1,-0.01
2.748,-0.12,-0.01
2.749,0.04,0.0
2.777,-0.04,0.0
2.784,-0.07,0.0
2.808,0.11,0.0
2.826,-0.14,0.0
2.855,0.1,0.0
2.881,-0.01,0.0
2.888,-0.01,0.0
2.931,0.07,0.0
2.935,-0.12,-0.01
2.958,-0.03,-0.01
2.986,-0.08,-0.01
2.998,0.03,0.0
3.038,-0.03,-0.01
3.039,-0.07,0.0
3.06,0.03,0.0
3.081,-0.01,0.0
3.107,-0.08,-0.01
3.133,-0.04,-0.01
3.143,-0.18,-0.02
3.17,-0.08,-0.03
3.187,-0.03,-0.03
3.218,-0.03,-0.03
3.233,0.04,-0.03
3.246,-0.03,-0.03
3.271,0.07,-0.02
3.293,0.0,-0.02
3.312,-0.04,-0.02
3.334,0.11,-0.01
3.357,0.0,-0.01
3.379,-0.04,-0.01
3.396,0.0,-0.01
3.417,-0.14,-0.02
3.442,0.01,-0.02
3.466,-0.03,-0.03
3.484,-0.15,-0.03
3.505,0.04,-0.03
3.538,-0.06,-0.03
3.555,0.18,-0.02
3.572,0.12,-0.02
3.601,-0.08,-0.01
3.625,0.12,0.0
3.864,-0.28,-0.01
3.865,-0.22,-0.02
3.865,-0.22,-0.04
3.865,-0.01,-0.03
3.865,0.07,-0.03
3.866,0.04,-0.02
3.866,0.04,-0.03
3.866,0.17,0.0
3.935,0.1,0.0
3.965,-0.04,0.01
4.01,-0.29,-0.01
4.011,-0.17,-0.02
4.037,-0.14,-0.03
4.046,-0.25,-0.05
4.076,0.04,-0.05
4.096,0.1,-0.04
4.116,0.0,-0.04
4.136,0.17,-0.03
4.16,0.06,-0.02
4.186,-0.12,-0.02
4.207,-0.1,-0.03
4.227,-0.24,-0.04
4.259,-0.17,-0.05
4.282,-0.1,-0.06
4.3,-0.06,-0.07
4.321,0.01,-0.06
4.347,0.29,-0.04
4.366,0.17,-0.02
4.386,0.08,-0.01
4.416,0.08,-0.01
4.436,-0.18,-0.01
4.457,-0.3,-0.03
4.485,-0.24,-0.06
4.507,-0.29,-0.07
4.527,0.04,-0.07
4.547,0.08,-0.07
4.567,0.14,-0.05
4.589,0.47,-0.02
4.617,0.29,0.01
4.632,0.14,0.02
4.657,-0.06,0.01
4.681,-0.37,0.0
4.697,-0.22,-0.02
4.727,-0.4,-0.03
4.737,-0.11,-0.05
4.758,0.06,-0.05
4.777,0.01,-0.04
4.807,0.29,-0.02
4.83,0.11,-0.01
4.859,0.19,0.01
4.867,0.1,0.02
4.888,-0.17,0.01
4.927,-0.06,0.0
4.928,-0.24,-0.01
4.958,-0.17,-0.02
5.004,0.0,-0.03
5.005,-0.08,-0.02
5.053,0.07,-0.01
5.058,0.22,0.0
5.081,0.06,0.01
5.099,0.06,0.02
5.099,-0.25,0.0
5.099,-0.14,0.01
5.101,-0.1,-0.01
5.118,-0.18,-0.02
5.137,-0.08,-0.03
5.163,-0.04,-0.04
5.182,0.01,-0.03
5.204,0.17,-0.02
5.227,0.07,-0.02
5.246,0.08,0.0
5.283,0.15,0.01
5.296,-0.03,0.01
5.312,-0.11,0.0
5.336,-0.15,-0.02
5.367,-0.18,-0.02
5.379,-0.11,-0.04
5.414,0.01,-0.04
5.431,-0.06,-0.04
5.451,0.21,-0.02
5.468,0.15,-0.02
5.501,0.12,-0.01
5.522,0.22,0.01
5.534,-0.04,0.01
5.553,-0.06,0.01
5.599,-0.21,-0.01
5.6,-0.21,-0.01
5.632,-0.04,-0.03
5.642,-0.08,-0.03
5.68,0.15,-0.03
5.686,0.14,-0.02
5.728,0.0,-0.01
5.748,0.11,0.0
5.755,-0.03,0.0
5.775,-0.1,0.0
5.797,0.03,0.0
5.82,-0.21,-0.01
5.842,-0.13,-0.02
5.863,-0.04,-0.03
5.894,-0.06,-0.03
5.906,0.15,-0.02
5.927,0.06,-0.01
5.947,0.15,0.0
5.976,0.11,0.01
5.996,0.0,0.01
6.019,0.07,0.01
6.04,-0.17,0.01
6.066,-0.11,0.0
6.081,-0.07,-0.01
6.097,-0.04,-0.01
6.122,0.06,-0.02
6.149,-0.06,-0.01
6.159,0.1,0.0
6.183,0.03,0.0
6.206,-0.08,0.0
6.228,0.11,0.0
6.247,-0.04,0.0
6.275,-0.11,0.0
6.301,-0.07,-0.01
6.322,-0.21,-0.03
6.335,-0.17,-0.04
6.354,0.0,-0.04
6.398,0.0,-0.03
6.403,0.18,-0.02
6.426,0.15,-0.02
6.448,0.1,-0.01
6.471,0.1,0.0
6.485,-0.12,0.0
6.513,-0.17,-0.01
6.547,-0.06,-0.02
6.559,-0.25,-0.03
6.577,-0.04,-0.04
6.609,-0.15,-0.04
6.62,0.03,-0.04
6.642,0.24,-0.02
6.667,0.01,-0.02
6.685,0.18,0.0
6.714,0.0,0.0
6.732,-0.21,0.0
6.758,0.1,-0.01
6.772,-0.25,-0.02
6.792,-0.08,-0.02
6.818,0.11,-0.02
6.843,-0.04,-0.02
6.865,0.18,-0.01
6.884,0.11,-0.01
6.903,0.01,0.0
6.93,0.04,0.0
6.954,-0.11,0.0
6.966,0.04,0.0
6.987,-0.18,-0.01
7.025,-0.08,-0.01
7.027,-0.07,-0.02
7.049,-0.14,-0.02
7.071,0.08,-0.02
7.091,0.01,-0.02
7.12,0.12,0.0
7.136,0.01,-0.01
7.156,-0.12,-0.01
7.175,0.01,-0.01
7.21,-0.11,-0.01
7.222,-0.06,-0.01
7.243,-0.03,-0.02
7.263,-0.07,-0.02
7.287,0.03,-0.02
7.317,0.03,-0.02
7.329,0.06,-0.01
7.352,0.19,0.0
7.37,0.01,0.01
7.393,-0.1,0.01
7.416,-0.08,0.0
7.436,-0.1,0.0
7.453,0.01,-0.01
7.471,-0.17,-0.01
7.49,0.01,-0.02
7.51,-0.1,-0.02
7.536,0.03,-0.02
7.556,0.1,-0.01
7.581,-0.04,-0.01
7.601,0.06,0.0
7.635,0.03,-0.01
7.647,-0.19,-0.01
7.668,0.03,-0.01
7.691,-0.07,-0.02
7.715,-0.07,-0.02
7.738,0.1,-0.02
7.763,-0.04,-0.02
7.783,0.11,-0.02
7.804,0.01,-0.02
7.825,0.04,-0.01
7.843,0.15,0.0
7.871,-0.19,0.0
7.883,0.04,-0.01
7.911,-0.08,-0.01
7.929,-0.21,-0.02
7.95,0.06,-0.02
7.97,-0.03,-0.02
7.992,0.11,-0.01
