t_s,raw,est,ref
0.0,0.12,0.13,0
0.016,0.19,0.14,0
0.046,0.11,0.13,0
0.06,0.14,0.14,0
0.082,0.18,0.13,0
0.105,0.17,0.14,0
0.125,0.29,0.14,0
0.143,0.03,0.14,0
0.165,0.3,0.15,0
0.189,0.04,0.14,0
0.217,0.12,0.14,0
0.237,0.21,0.14,0
0.261,0.21,0.15,0
0.279,0.29,0.16,0
0.298,0.19,0.16,0
0.323,0.15,0.16,0
0.35,0.19,0.16,0
0.367,0.22,0.16,0
0.387,0.11,0.17,0
0.411,0.19,0.16,0
0.435,0.08,0.16,0
0.468,0.19,0.16,0
0.475,0.11,0.15,0
0.496,0.19,0.16,0
0.529,0.32,0.16,0
0.548,0.12,0.17,0
0.571,0.28,0.17,0
0.59,0.11,0.17,0
0.614,0.06,0.17,0
0.632,0.17,0.16,0
0.654,0.19,0.16,0
0.684,0.14,0.16,0
0.7,0.19,0.17,0
0.719,0.12,0.17,0
0.741,0.21,0.17,0
0.772,0.3,0.18,0
0.784,0.15,0.18,0
0.805,0.21,0.18,0
0.828,0.07,0.18,0
0.851,0.15,0.17,0
0.887,0.08,0.16,0
0.891,0.1,0.16,0
0.916,0.08,0.15,0
0.938,0.19,0.16,0
0.959,0.25,0.16,0
0.981,0.1,0.16,0
1.005,0.31,0.16,0
1.026,0.0,0.16,0
1.051,0.18,0.16,0
1.069,0.0,0.15,0
1.092,0.12,0.14,0
1.11,-0.01,0.13,0
1.129,0.21,0.13,0
1.155,0.21,0.14,0
1.184,0.22,0.14,0
1.199,0.21,0.15,0
1.214,0.21,0.15,0
1.235,0.12,0.15,0
1.26,0.14,0.15,0
1.284,0.25,0.15,0
1.311,0.04,0.15,0
1.324,0.21,0.15,0
1.349,-0.07,0.14,0
1.366,0.26,0.14,0
1.392,0.15,0.14,0
1.413,0.14,0.15,0
1.437,0.28,0.15,0
1.464,0.11,0.15,0
1.484,0.22,0.15,0
1.508,0.18,0.15,0
1.533,0.21,0.16,0
1.553,0.08,0.15,0
1.571,0.15,0.15,0
1.6,0.08,0.15,0
1.617,0.22,0.15,0
1.639,0.15,0.15,0
1.657,0.18,0.15,0
1.678,0.24,0.15,0
1.7,0.06,0.15,0
1.724,0.19,0.15,0
1.744,0.12,0.14,0
1.776,0.14,0.15,0
