timestamp,flight_id,angle_roll_est,angle_pitch_est,angle_roll,angle_pitch,angle_yaw,gyro_rate_roll,gyro_rate_pitch,gyro_rate_yaw,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,error_phi,error_theta,input_roll,input_pitch,input_yaw,motor_1,motor_2,motor_3,motor_4,altura,flight_mode,device_id,roll,pitch,yaw
2025-09-07T23:23:34.433000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.13,-0.07,0.12,0,-0.29,0.06,0.02,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.07,0.12,0
2025-09-07T23:23:34.456000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.03,0.15,-0.22,0.3,0,-0.14,0.02,0.05,-0.01,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.22,0.3,0
2025-09-07T23:23:34.476000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.03,0.15,0.11,0.21,0,-0.18,-0.08,0.05,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.11,0.21,0
2025-09-07T23:23:34.498000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.16,0,0.24,0,-0.08,-0.18,0.06,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0.24,0
2025-09-07T23:23:34.523000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.16,-0.1,0.3,0,-0.11,-0.34,0.05,-0.01,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.1,0.3,0
2025-09-07T23:23:34.543000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,-0.02,0.16,0.14,-0.01,0,-0.11,-0.12,0.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.14,-0.01,0
2025-09-07T23:23:34.562000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0,0.16,0.14,0.19,0,0.09,-0.09,0.03,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.14,0.19,0
2025-09-07T23:23:34.600000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.02,0.17,0.44,0.5,0,-0.53,-0.66,-0.05,-0.01,0.01,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.44,0.5,0
2025-09-07T23:23:34.610000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0.01,0.13,-0.2,-0.54,0,-0.09,-0.08,0.02,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.2,-0.54,0
2025-09-07T23:23:34.626000Z,69c5bdab-85e2-409f-862e-d8332794d2fa,0,0.12,-0.08,0.14,0,-0.17,0.12,0.12,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,-0.08,0.14,0
